airport_name;arr_flights
Eau Claire, WI: Chippewa Valley Regional;785
Rock Springs, WY: Southwest Wyoming Regional;785
Petersburg, AK: Petersburg James A Johnson;782
Wrangell, AK: Wrangell Airport;782
Garden City, KS: Garden City Regional;781
Cordova, AK: Merle K Mudhole Smith;780
Nome, AK: Nome Airport;780
Yakutat, AK: Yakutat Airport;780
Kotzebue, AK: Ralph Wien Memorial;778
Del Rio, TX: Del Rio International;777
Muskegon, MI: Muskegon County;774
Pierre, SD: Pierre Regional;770
Waterloo, IA: Waterloo Regional;761
Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional;758
Ashland, WV: Tri-State/Milton J. Ferguson Field;742
Iron Mountain/Kingsfd, MI: Ford;731
Butte, MT: Bert Mooney;730
Sault Ste. Marie, MI: Chippewa County International;730
Elko, NV: Elko Regional;729
International Falls, MN: Falls International Einarson Field;698
Kodiak, AK: Kodiak Airport;690
Brainerd, MN: Brainerd Lakes Regional;685
Alpena, MI: Alpena County Regional;677
Lewisburg, WV: Greenbrier Valley;677
Vernal, UT: Vernal Regional;676
Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field;675
Escanaba, MI: Delta County;675
Hibbing, MN: Range Regional;675
Laramie, WY: Laramie Regional;675
North Platte, NE: North Platte Regional Airport Lee Bird Field;675
Devils Lake, ND: Devils Lake Regional;674
Liberal, KS: Liberal Mid-America Regional;674
Mammoth Lakes, CA: Mammoth Lakes Airport;655
Ogdensburg, NY: Ogdensburg International;648
Watertown, SD: Watertown Regional;642
Moab, UT: Canyonlands Field;631
Quincy, IL: Quincy Regional-Baldwin Field;582
Williston, ND: Sloulin Field International;568
Martha's Vineyard, MA: Martha's Vineyard Airport;552
Cheyenne, WY: Cheyenne Regional/Jerry Olson Field;544
Saipan, TT: Francisco C. Ada Saipan International;518
Portsmouth, NH: Portsmouth International at Pease;455
North Bend/Coos Bay, OR: Southwest Oregon Regional;396
Cody, WY: Yellowstone Regional;391
Williston, ND: Williston Basin International;335
Gunnison, CO: Gunnison-Crested Butte Regional;325
West Yellowstone, MT: Yellowstone;264
Branson, MO: Branson Airport;231
Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field;206
Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field;195
Mobile, AL: Mobile Downtown;183
Watertown, NY: Watertown International;182
St. Cloud, MN: St. Cloud Regional;154
Pago Pago, TT: Pago Pago International;126
Riverton/Lander, WY: Riverton Regional;125
Ogden, UT: Ogden-Hinckley;114
Adak Island, AK: Adak;113
Owensboro, KY: Owensboro Daviess County Regional;110
Sheridan, WY: Sheridan County;91
Hyannis, MA: Barnstable Municipal-Boardman/Polando Field;83
Dillingham, AK: Dillingham Airport;82
Gustavus, AK: Gustavus Airport;82
Greenville, NC: Pitt Greenville;80
King Salmon, AK: King Salmon Airport;61
Dodge City, KS: Dodge City Regional;29
